season,abv,conference,division,w,l,games,win_pct,overall_rank,conf_rank,bench_mp,bench_players,bench_per_wmean,bench_per_mean,bench_ts_percent_wmean,bench_ts_percent_mean,bench_obpm_wmean,bench_obpm_mean,bench_dbpm_wmean,bench_dbpm_mean,bench_usg_percent_wmean,bench_usg_percent_mean,bench_a2t_perc_wmean,bench_a2t_perc_mean
2003,ORL,Eastern,Atlantic,42,40,82,0.51,8.0,5.0,290.0,1,6.7,6.7,0.42,0.42,-4.6,-4.6,-1.1,-1.1,16.9,16.9,1.43,1.43
2003,PHI,Eastern,Atlantic,48,34,82,0.59,3.0,2.0,772.0,2,10.444041450777203,10.9,0.4578756476683938,0.46499999999999997,-2.435233160621762,-2.25,-0.44196891191709853,-0.09999999999999998,14.630569948186528,15.4,0.9024870466321244,1.035
2003,PHO,Western,Pacific,44,38,82,0.54,6.0,3.0,447.0,1,10.9,10.9,0.4699999999999999,0.47,-2.2,-2.2,0.8,0.8,16.8,16.8,1.0,1.0
2003,SAC,Western,Pacific,59,23,82,0.72,1.0,1.0,325.0,1,14.6,14.6,0.5,0.5,-2.3,-2.3,0.4,0.4,16.1,16.1,0.43,0.43
2003,SEA,Western,Pacific,40,42,82,0.49,9.0,4.0,1357.0,3,11.843625644804717,11.0,0.49753131908621967,0.4766666666666666,-2.432719233603537,-3.1999999999999997,0.6467207074428887,0.6333333333333334,15.787030213706705,15.9,2.0208548268238764,1.5233333333333334
2003,TOR,Eastern,Central,24,58,82,0.29,15.0,9.0,1862.0,4,9.090386680988184,9.25,0.4454618689581095,0.4475,-3.950537056928034,-4.05,-1.1642857142857144,-1.05,19.215520945220195,18.25,0.9153598281417831,0.975
2003,UTA,Western,Midwest,47,35,82,0.57,4.0,2.0,421.0,1,8.2,8.2,0.53,0.53,-3.1000000000000005,-3.1,-0.9000000000000001,-0.9,14.5,14.5,0.6699999999999999,0.67
2003,WAS,Eastern,Atlantic,37,45,82,0.45,11.0,6.0,522.0,2,12.730268199233716,12.95,0.52,0.52,-1.7440613026819922,-1.75,-1.3931034482758622,-1.5,15.335632183908046,15.3,0.4832567049808429,0.45
2004,ATL,Eastern,Southeast,28,54,82,0.34,15.0,8.0,659.0,2,13.755235204855843,13.8,0.5017905918057664,0.5,-3.062670713201821,-3.0,-1.3089529590288314,-1.2999999999999998,19.42625189681335,19.95,0.30500758725341426,0.335
2004,BOS,Eastern,Atlantic,36,46,82,0.44,11.0,5.0,1750.0,4,13.828457142857143,13.975000000000001,0.5239885714285715,0.5225,-0.6865142857142857,-0.55,-0.21131428571428573,-0.175,17.376685714285713,17.325,1.3951657142857143,1.5075
2004,CHI,Eastern,Central,23,59,82,0.28,18.0,10.0,412.0,1,12.4,12.4,0.45,0.45,-1.4,-1.4,0.8,0.8,19.6,19.6,1.69,1.69
2004,CLE,Eastern,Central,35,47,82,0.43,12.0,6.0,788.0,2,14.383248730964468,14.4,0.4948857868020305,0.495,-1.3992385786802028,-1.4,-1.9129441624365484,-1.9000000000000001,20.958756345177665,20.950000000000003,0.6263324873096447,0.625
2004,DEN,Western,Northwest,43,39,82,0.52,5.0,3.0,344.0,1,9.1,9.1,0.45,0.45,-3.5,-3.5,-0.7999999999999999,-0.8,14.700000000000001,14.7,1.25,1.25
2004,DET,Eastern,Central,54,28,82,0.66,3.0,2.0,734.0,2,12.878474114441415,11.95,0.506975476839237,0.505,-2.449318801089918,-3.1999999999999997,1.2697547683923707,1.25,17.8858310626703,17.549999999999997,1.7111444141689374,1.32
2004,GSW,Western,Pacific,37,45,82,0.45,10.0,6.0,610.0,1,16.8,16.8,0.5,0.5,-0.6,-0.6,-1.0,-1.0,23.6,23.6,0.58,0.58
2004,IND,Eastern,Central,61,21,82,0.74,1.0,1.0,271.0,1,15.7,15.7,0.58,0.58,-0.8,-0.8,-0.7,-0.7,27.8,27.8,0.25,0.25
