season,team name,abv,conference,division
2010,Minnesota Timberwolves,MIN,Western,Northwest
2010,New Jersey Nets,NJN,Eastern,Atlantic
2012,New Jersey Nets,NJN,Eastern,Atlantic
2010,New Orleans Hornets,NOH,Western,Southwest
2010,New York Knicks,NYK,Eastern,Atlantic
2010,Oklahoma City Thunder,OKC,Western,Northwest
2010,Orlando Magic,ORL,Eastern,Southeast
2010,Philadelphia 76ers,PHI,Eastern,Atlantic
2010,Phoenix Suns,PHO,Western,Pacific
2010,Portland Trail Blazers,POR,Western,Northwest
2010,Sacramento Kings,SAC,Western,Pacific
2010,San Antonio Spurs,SAS,Western,Southwest
2010,Toronto Raptors,TOR,Eastern,Atlantic
2010,Utah Jazz,UTA,Western,Northwest
2010,Washington Wizards,WAS,Eastern,Southeast
2011,Atlanta Hawks,ATL,Eastern,Southeast
2011,Boston Celtics,BOS,Eastern,Atlantic
2011,Charlotte Bobcats,CHA,Eastern,Southeast
2011,Chicago Bulls,CHI,Eastern,Central
2011,Cleveland Cavaliers,CLE,Eastern,Central
2011,Dallas Mavericks,DAL,Western,Southwest
2011,Denver Nuggets,DEN,Western,Northwest
2011,Detroit Pistons,DET,Eastern,Central
2011,Golden State Warriors,GSW,Western,Pacific
2011,Houston Rockets,HOU,Western,Southwest
2011,Indiana Pacers,IND,Eastern,Central
2011,Los Angeles Clippers,LAC,Western,Pacific
2011,Los Angeles Lakers,LAL,Western,Pacific
2011,Memphis Grizzlies,MEM,Western,Southwest
2011,Miami Heat,MIA,Eastern,Southeast
2011,Milwaukee Bucks,MIL,Eastern,Central
2011,Minnesota Timberwolves,MIN,Western,Northwest
2011,New Jersey Nets,NJN,Eastern,Atlantic
2011,New Orleans Hornets,NOH,Western,Southwest
2011,New York Knicks,NYK,Eastern,Atlantic
2011,Oklahoma City Thunder,OKC,Western,Northwest
2011,Orlando Magic,ORL,Eastern,Southeast
2011,Philadelphia 76ers,PHI,Eastern,Atlantic
2011,Phoenix Suns,PHO,Western,Pacific
2011,Portland Trail Blazers,POR,Western,Northwest
2011,Sacramento Kings,SAC,Western,Pacific
2011,San Antonio Spurs,SAS,Western,Southwest
2011,Toronto Raptors,TOR,Eastern,Atlantic
2011,Utah Jazz,UTA,Western,Northwest
2011,Washington Wizards,WAS,Eastern,Southeast
2012,Atlanta Hawks,ATL,Eastern,Southeast
2012,Boston Celtics,BOS,Eastern,Atlantic
2012,Brooklyn Nets,BRK,Eastern,Atlantic
2012,Charlotte Bobcats,CHA,Eastern,Southeast
2012,Chicago Bulls,CHI,Eastern,Central
2012,Cleveland Cavaliers,CLE,Eastern,Central
2012,Dallas Mavericks,DAL,Western,Southwest
2012,Denver Nuggets,DEN,Western,Northwest
2012,Detroit Pistons,DET,Eastern,Central
2012,Golden State Warriors,GSW,Western,Pacific
2012,Houston Rockets,HOU,Western,Southwest
2012,Indiana Pacers,IND,Eastern,Central
2012,Los Angeles Clippers,LAC,Western,Pacific
2012,Los Angeles Lakers,LAL,Western,Pacific
2012,Memphis Grizzlies,MEM,Western,Southwest
2012,Miami Heat,MIA,Eastern,Southeast
2012,Milwaukee Bucks,MIL,Eastern,Central
2012,Minnesota Timberwolves,MIN,Western,Northwest
2013,New Orleans Hornets,NOH,Western,Southwest
2012,New Orleans Hornets,NOH,Western,Southwest
2012,New York Knicks,NYK,Eastern,Atlantic
2012,Oklahoma City Thunder,OKC,Western,Northwest
2012,Orlando Magic,ORL,Eastern,Southeast
2012,Philadelphia 76ers,PHI,Eastern,Atlantic
2012,Phoenix Suns,PHO,Western,Pacific
2012,Portland Trail Blazers,POR,Western,Northwest
2012,Sacramento Kings,SAC,Western,Pacific
2012,San Antonio Spurs,SAS,Western,Southwest
2012,Toronto Raptors,TOR,Eastern,Atlantic
2012,Utah Jazz,UTA,Western,Northwest
2012,Washington Wizards,WAS,Eastern,Southeast
2013,Atlanta Hawks,ATL,Eastern,Southeast
2013,Boston Celtics,BOS,Eastern,Atlantic
2013,Brooklyn Nets,BRK,Eastern,Atlantic
2014,Charlotte Bobcats,CHA,Eastern,Southeast
2013,Charlotte Bobcats,CHA,Eastern,Southeast
2013,Chicago Bulls,CHI,Eastern,Central
2013,Cleveland Cavaliers,CLE,Eastern,Central
2013,Dallas Mavericks,DAL,Western,Southwest
2013,Denver Nuggets,DEN,Western,Northwest
2013,Detroit Pistons,DET,Eastern,Central
2013,Golden State Warriors,GSW,Western,Pacific
2013,Houston Rockets,HOU,Western,Southwest
2013,Indiana Pacers,IND,Eastern,Central
2013,Los Angeles Clippers,LAC,Western,Pacific
2013,Los Angeles Lakers,LAL,Western,Pacific
2013,Memphis Grizzlies,MEM,Western,Southwest
