season,player_id,abv,per,ts_percent,obpm,dbpm,usg_percent,gs,g,ast_per_game,tov_per_game,mp_per_game,w,l,playoffs,a2t_perc,team_win_perc,role,experience
2025,jonesco02,WAS,12.3,0.55,-3.1,0.2,14.7,0.0,15,2.5,1.1,25.7,18,64,False,2.27,0.22,B,1
2025,joneshe01,NOP,10.4,0.54,-3.9,0.2,14.6,20.0,20,3.3,1.8,32.4,21,61,False,1.83,0.26,S,3
2025,jonestr01,SAS,13.8,0.57,-1.2,1.1,12.2,0.0,28,3.7,0.8,16.1,34,48,False,4.62,0.41,B,4
2025,jonestr01,CHI,18.8,0.65,2.1,1.0,16.0,9.0,18,4.9,0.8,25.3,39,43,True,6.12,0.48,S,4
2025,jonesty01,PHO,14.5,0.58,1.4,-1.3,16.2,58.0,81,5.3,1.1,26.8,36,46,False,4.82,0.44,S,9
2025,jovicni01,MIA,13.8,0.6,-0.3,0.6,18.3,10.0,46,2.8,1.3,25.1,37,45,True,2.15,0.45,R,2
2025,juzanjo01,UTA,11.8,0.57,-0.9,-1.4,17.6,18.0,64,1.1,0.6,19.8,17,65,False,1.83,0.21,R,2
2025,kennalu01,MEM,13.6,0.63,0.9,0.2,14.5,11.0,65,3.3,1.1,22.6,48,34,True,3.0,0.59,R,7
2025,kesslwa01,UTA,20.0,0.66,1.1,0.7,13.7,58.0,58,1.7,1.5,30.0,17,65,False,1.13,0.21,S,2
2025,kispeco01,WAS,11.0,0.58,-1.4,-2.2,17.5,0.0,61,1.7,1.0,26.3,18,64,False,1.7,0.22,R,3
2025,klebima01,DAL,5.6,0.49,-4.2,0.4,8.7,4.0,34,1.3,0.7,18.7,39,43,True,1.86,0.48,R,7
2025,knechda01,LAL,12.7,0.59,-0.1,-1.7,18.5,16.0,78,0.8,0.5,19.2,50,32,True,1.6,0.61,R,0
2025,kornelu01,BOS,19.6,0.68,1.6,1.7,11.4,16.0,73,1.6,0.4,18.6,61,21,True,4.0,0.74,R,7
2025,krejcvi01,ATL,12.7,0.66,0.0,0.7,12.9,16.0,57,2.6,0.9,20.2,40,42,True,2.89,0.49,R,3
2025,kuminjo01,GSW,15.7,0.54,-0.5,-0.1,27.4,10.0,47,2.2,1.5,24.3,48,34,True,1.47,0.59,R,3
2025,kuzmaky01,WAS,10.6,0.49,-3.0,-2.3,27.1,30.0,32,2.5,2.3,27.7,18,64,False,1.09,0.22,S,7
2025,kuzmaky01,MIL,10.5,0.55,-2.9,-1.8,21.4,32.0,33,2.2,2.2,31.8,48,34,True,1.0,0.59,S,7
2025,laravja01,MEM,13.5,0.6,-0.2,1.5,14.5,0.0,47,2.8,1.5,20.9,48,34,True,1.87,0.59,R,2
2025,laravja01,SAC,10.2,0.55,-2.5,-0.2,14.2,0.0,19,1.3,0.9,19.3,40,42,True,1.44,0.49,B,2
2025,lavinza01,CHI,18.4,0.64,2.7,-1.0,26.6,42.0,42,4.5,2.9,34.1,39,43,True,1.55,0.48,S,10
2025,lavinza01,SAC,15.9,0.64,1.8,-2.3,23.7,32.0,32,3.8,2.7,36.6,40,42,True,1.41,0.49,S,10
2025,lawsoaj01,TOR,12.7,0.54,-1.5,-1.0,20.0,2.0,26,1.2,0.6,18.7,30,52,False,2.0,0.37,B,2
2025,leonaka01,LAC,20.5,0.59,2.5,0.6,27.7,37.0,37,3.1,1.9,31.9,50,32,True,1.63,0.61,S,13
2025,leverca01,CLE,14.4,0.58,0.5,0.7,18.1,3.0,38,3.7,1.3,23.8,64,18,True,2.85,0.78,R,8
2025,leverca01,ATL,16.2,0.58,1.1,-0.7,21.2,0.0,26,2.9,1.0,26.6,40,42,True,2.9,0.49,B,8
